Município; Bairros
Marituba; BAIRRO NOVO
Marituba; BEIJA-FLOR/NOVA MARITUBA/JARDIM IMPERIAL
Marituba; BOA VISTA/MIRINZAL
Marituba; CENTRO
Marituba; CHE GUEVARA/ALMIR GABRIEL
Marituba; DECOUVILLE 
Marituba; DOM ARISTIDES 	
Marituba; NOVA UNIÃO/SÃO FRANCISCO/BELA VISTA
Marituba; SANTA CRUZ/SANTA LÚCIA/SANTA CLARA
Marituba; URIBOCA
